B1,B2,B3
1,1,kopasaMdhukSaNa
2,1,parikarita
3,1,stenahRdaya
4,1,vAduli
5,1,AsandI
6,1,girirajaghoSezvara
7,1,navagrahamaGgalASTaka
8,1,anudvegakara
9,1,viparivRt
10,1,dhRtasiMha
11,1,prajJin
12,1,lohakAraka
13,1,pAta
14,1,kRtyapradIpa
15,1,udakavAdya
16,1,vRza
17,1,amalinadhI
18,1,prapIta
19,1,rAjavahikA
20,1,bAlacAturbhadrikA
21,1,SuduvadIna
22,1,netrakoza
23,1,dalbha
24,1,mandaka
25,2,ekAMza
26,2,devAGga
27,2,agu
28,2,siddhAsana
29,2,zuklavatsA
30,2,dUrvAsoma
31,2,abhimAnatA
32,2,Avaraka
33,2,mRtanAtha
34,2,kandarpakUpa
35,2,vIryasampanna
36,2,SThyUta
37,2,avikAra
38,2,madhuvidviS
39,2,bhAryAvat
40,2,acalakIlA
41,2,sukhamukha
42,2,paripA
43,2,mahAkapittha
44,2,arNa
45,2,apacikIrSu
46,2,makarAGka
47,2,dharmadughA
48,2,kArabha
49,2,azRthita
50,2,nirloc
51,2,mandavirikta
52,2,yathAyukti
53,2,upavigulph
54,2,darzanIyAsama
55,2,avAritavya
56,2,takrabhaktA
57,2,yajJopavItapaddhati
58,2,rAjyAdhidevatA
59,2,kAlaparivAsa
60,2,SaTkRtvas
61,2,divira
62,2,mATha
63,2,bhaTodyoga
64,2,dhoritaka
65,2,anupeyamAna
66,2,sarasvatInivAsa
67,2,jalAzayotsargatattva
68,2,zAlihotronnaya
69,2,mahAndhra
70,2,mluc
71,2,hRSTapuSTa
72,2,karkI
73,2,gavyu
74,3,kAraNa
75,3,paritap
76,3,vizvavisArin
77,3,tridivasa
78,3,upabhojya
79,3,zukranIti
80,3,zailAsA
81,3,mahAsAhasikatayA
82,3,galagolI
83,3,rudraputra
84,3,zivAlikhitaparibhASA
85,3,nAriGga
86,3,rudradhara
87,3,kSArakITa
88,3,suviddha
89,3,abhyanujJAta
90,3,yaSTy
91,3,dhruvayaSTi
92,3,mohacUDottara
93,3,veGkaTakRSNIya
94,3,hRdayAmaya
95,3,utthAtR
96,3,dIpadAnavidhi
97,3,klu
98,3,bAlabhAva
99,3,svayambhRta
100,3,zrImatkumbha
101,3,madanadhvajA
102,3,peraNI
103,3,caritArthin
104,3,sahasrabhara
105,3,kavicakravartin
106,3,UrdhvabhAj
107,3,samarAjira
108,3,trimallacandra
109,3,zaGkitavarNaka
110,3,zothajit
111,3,caturdola
112,3,pratijJAlakSaNa
113,3,parirandhita
114,3,kezavardhanI
115,3,bhANDapratibhANDaka
116,3,kandAzana
117,3,khaNDavaTaka
118,3,puSpabaTuka
119,3,devapUrva
120,3,lauhaja
121,3,virohita
122,3,bRMh
123,4,rajojuS
124,4,kumbh
125,4,abhisAntva
126,4,kRtapazcAttApa
127,4,prekSaNikA
128,4,svAdukandaka
129,4,kalakaNThikA
130,4,anyagotra
131,4,mahASTamIsaMdhipUjA
132,4,supuSkarA
133,4,dAhamaya
134,4,AnandalaharI
135,5,grAmIna
136,5,AtmasamarpaNa
137,6,punarbhU
138,6,pracalakAJcanakuNDala
139,6,bhAnda
140,6,devasava
141,6,prakAzyatA
142,6,rajaHsuvAsinI
143,6,vimukhin
144,6,vArivAlaka
145,6,zAntyAkaragupta
146,6,gopAlakelicandrikA
147,6,putrasU
148,6,vaizvakarmaNa
149,6,saMgrahavaidyanAthIya
150,6,UrdhvatA
151,6,satyASADhaprayoga
152,6,patatrivara
153,6,gUDhamaithuna
154,6,tIrtharAjI
155,6,viprakRSTa
156,6,zallaka
157,6,naitalasadman
158,6,jharjharaka
159,6,pAtAlanilaya
160,6,vikAGkSa
161,6,kulagRha
162,6,khazera
163,6,mRgaya
164,6,kaThorahRdaya
165,6,sAMkRtya
166,6,prapUjita
167,6,caikIrSata
168,7,akaDama
169,7,racanA
170,7,jitAkSa
171,7,zamyAparAvyAdha
172,7,pitRdina
173,7,aGkAra
174,7,svarNazuktikA
175,7,pratizAkham
176,7,apinetR
