B1,B2,B3
1,1,zarajjyotsnA
2,1,suprAta
3,2,mRgAreSTi
4,2,anRNatA
5,2,karNATikA
6,2,kuThera
7,3,mahIrata
8,4,madrAya
9,4,vyavahArArthasAra
10,4,zreyo
11,4,prabodhacintAmaNi
12,5,matsyAGgI
13,5,kel
14,5,balAbalabIjabhaGga
15,6,lUmaviSa
16,6,prasUtivAyu
17,6,hastikaraJja
18,6,gopika
19,7,tirazcInavaMza
20,7,sahasrasIta
21,7,dadhittharasa
22,8,murArimizrIya
23,8,vedAvApti
24,8,mihirakula
25,8,avagatha
26,9,vitalaloka
27,9,aJjasI
28,9,vRddhokSa
29,10,bhrAjasvat
30,10,arociSNu
31,10,nikAmasukhin
32,10,jUtimat
33,11,kRpanILa
34,11,pipIlikamadhyA
35,12,bhUripalitadA
36,12,ApAta
37,13,catustotra
38,13,AstaraNavat
39,14,divyaprajJAnazAlin
40,14,pUSa
41,14,mAnyava
42,14,yajJaretas
43,15,dRDhIbhU
44,15,nibhRta
45,15,anvayavat
46,15,brAhmaNaDimbha
47,16,vAtavasti
48,16,bahuniSka
49,16,svap
50,16,rukmat
51,17,mahAviSNustutiTIkA
52,17,nimittahetu
53,17,haritAlikAvratanirNaya
54,18,bASpabindu
55,19,AkaSaka
56,19,vaikArikabandha
57,19,parAzarasUtravRtti
58,19,spaSTatA
59,20,sphoTitArgala
60,20,stutya
61,21,daityapati
62,21,arthisAt
63,22,khasarpaNa
64,22,bhUtanAyikA
65,22,dhutaguNa
66,22,prasavantI
67,23,tuNDila
68,23,svAduyogin
69,24,buddhamArga
70,24,garbhaniSkRti
71,25,paTazAtaka
72,26,pitRSvasAmAtula
73,26,utsAdya
74,27,codita
75,27,varAhopaniSad
76,27,Aryadhana
77,27,hasakRt
78,28,vezabhAva
79,29,mukhAnila
80,29,videhatva
81,29,AgrayaNeSTi
82,30,pravepathu
83,30,zirodhi
84,31,gAdhapratiSThA
85,31,itas
86,31,paryaGkastha
87,31,maNTha
88,32,zauryavat
89,32,tviSita
90,33,brahmasuta
91,34,ullasita
92,35,bata
93,35,padmottara
94,35,jIrNatA
95,35,plakSapraroha
96,36,ripu
97,36,rakSApaTTolikA
98,36,yajurbrAhmaNabhASya
99,36,gilana
100,37,putrakandA
101,37,vAsukra
102,37,niHsaGgena
103,38,kramatrairAzika
104,38,adhidevatA
105,38,vizrambhin
106,38,parikhaNDa
107,39,prakaraNapAda
108,40,nikRS
109,40,nunna
110,40,mahApatha
111,41,apaparyAvRt
112,41,tArakiNI
113,41,bRhaduttaratApinI
