B1,B2,B3
1,1,tRNIya
2,1,jalendhana
3,1,mRDana
4,2,zaikSya
5,2,vasantavrata
6,2,grAsIkRta
7,2,zatadhRti
8,2,zlAghanIyatara
9,3,vAhyAzva
10,3,niragraka
11,3,anuvanAntam
12,4,agnisaMcaya
13,4,mUlaphala
14,4,kavikaNThAbharaNa
15,4,kramavyatyaya
16,4,lAsyA
17,5,vyAghuS
18,6,mihirarati
19,6,lauhasAra
20,6,rajjuzArada
21,6,puccha
22,7,karavIka
23,7,bhRGgezasaMhitA
24,8,adhikaraNalekhaka
25,8,kalahakArikA
26,8,antaraya
27,8,zikha
28,9,zAkalin
29,9,anuspRz
30,9,vaJcana
31,9,Urjasvala
32,9,gRhadevatA
33,9,snuc
34,10,raktakaNTha
35,11,roc
36,11,nAmacaraNavArttika
37,12,avahArya
38,12,sAmAnyalakSaNadIdhitiTippaNI
39,12,zaktivAdaTIkA
40,12,kezaruhA
41,13,raktagaura
42,13,avaguNThanavat
43,14,mahezvaradIpa
44,14,ragh
45,14,utsidh
46,14,manaHsaMtApa
47,15,bhuruNDa
48,15,sAnutApa
49,15,dhauta
50,16,caturiDaspadastobha
51,17,sahAyArtham
52,17,vaihAyasa
53,17,kuruvatsa
54,17,kuntalavardhana
55,17,kulAlakRta
56,18,tuhinakara
57,19,nakhAghAta
58,19,AraNyakukkuTa
59,20,pAJcAlikA
60,20,kSoma
61,20,anupradAtR
62,20,kASThAgAra
63,20,avalehikA
64,20,bhaGgurAvat
65,21,manthAcala
66,21,saMhitAvat
67,21,muJjaka
68,22,tantrIbhANDa
69,22,kozIdhAnya
70,22,pRthvIkurabaka
71,22,sAmya
72,23,AtmagatyA
73,23,bhaTTika
74,23,DahAla
75,23,ardhasama
76,24,vAtaketu
77,25,vicAlita
78,26,AptadakSiNa
79,26,vizvagandhi
80,26,kArttikeya
81,26,govRSa
82,26,avimat
83,27,pravRkNa
84,27,Atuc
85,28,tiryagantara
86,28,ratnazilA
87,28,avidoha
88,29,cikitAyana
89,29,ghanAghana
90,30,AnUpaka
91,30,paJcAgnyAdhAna
92,30,baijanAtha
93,30,devapaJcarAtra
94,31,nyAsa
95,31,abhiyAyin
96,31,udvellana
97,32,karatoyA
98,33,mauSiki
99,33,udakavindu
100,33,vibhAjaka
101,34,kAmyagir
102,34,kRtsa
103,34,vedamantra
104,34,parazurAmajayantI
105,34,haMsanAbha
106,35,samAnopAdhyAya
107,36,bAlaputra
108,36,mahAdhura
109,36,medhyatara
110,36,devatAbAdha
111,36,nirdhAv
112,36,mahAbhAratasaMgrahadIpikA
113,37,zivasthalamahimavarNana
114,37,mImAMsAnyAyaparimalollAsa
115,37,nalayAdavarAghavapANDavIya
116,37,kalyANikA
117,38,dhUmralohita
118,38,mAhezvaratantra
119,38,zvitropakAza
120,39,zabdatriveNikA
121,39,samAstha
122,39,praNAyya
123,40,sabhasman
124,40,dharmalakSaNa
125,41,gotraja
126,41,sahadAna
127,41,bhUtadamanI
128,42,bhAdrasAma
129,42,kalAyasUpa
130,42,vAsinI
131,42,antyakarman
132,42,nabhogaja
133,43,avadal
134,44,kaTheraNi
135,44,pinyAsa
136,44,pravardaka
137,44,pUrNAbhilASa
138,44,luG
139,45,pANaukaraNa
140,45,upaprach
141,46,matIzvara
142,46,pInasa
143,46,lambajyA
144,46,udaudana
145,47,gRhamedhya
146,47,SoLaza
147,47,khaTvAGganAmikA
148,47,samAcchad
149,47,goduha
150,47,AdityakAntA
151,48,yogISTa
152,48,saMvyavahita
153,48,prAguttaratas
154,48,rAjaputrikA
155,48,niHsArya
156,48,bandhanAgAra
157,49,svarUpatva
158,49,arNavabhava
159,49,kezAda
160,49,hiGguka
161,49,sahAyakRtya
162,49,rumA
163,50,uttarapakSatA
164,50,citrAmagha
165,50,antarbhauma
166,50,saMvartakAbhra
167,51,sAmAnyazAsana
168,51,agniSTomasadya
169,51,tAnUra
170,52,pratiSThAkalpAdi
171,52,zuktapAka
172,52,kavila
173,52,dvArazobhA
174,52,zramavArileza
175,52,satvaritam
176,53,virecanadravya
177,53,nimeya
178,54,phullanetra
179,54,agnimAThara
180,54,hatasarvayodha
181,54,ihadvitIyA
182,55,lakSmIstotra
183,55,visaMSThula
184,56,bhaktacchanda
185,56,vaiNukIya
186,56,stema
187,56,kaTutA
188,56,azanakRt
189,57,samitiMgama
190,57,mAnamAtra
191,58,kandUraka
192,58,glAva
193,59,anupalipta
194,59,duruHpha
195,59,sarvanAman
196,59,viSNugUDhArtha
197,59,nirmathya
198,60,sarvaprANena
199,60,hasAmuda
200,60,zrIbhASyAndhraTIkA
201,60,zArGgeSTA
202,60,varAnanA
203,60,varadAzvas
204,61,samarAgra
205,61,veganAzana
206,61,saumakratavIya
207,61,mRtaputra
208,61,paunaHpunika
209,62,upaniSkrAnta
210,62,samb
211,62,sarvazakti
212,62,pItamudga
213,63,bhramara
214,63,gaganasad
215,64,bhImasena
216,64,kumata
217,64,matsyadvAdazikA
218,64,cirilla
219,64,tilaka
220,65,anumarzam
221,65,tariratha
222,65,gUrtAvasu
223,65,yavasAhva
224,65,ma
225,65,gItabandhana
226,66,anyAdRkSa
227,66,peSaNIputraka
228,66,suptiGanta
229,66,anvAsIna
230,66,sakalajana
231,67,mahAyuddha
232,68,bhagavattattvamaJjarI
233,68,sampravac
234,68,taNDyAyanI
235,68,sumadgaNa
236,68,pArzvamAnI
237,68,pradyumnAstra
238,69,adhyakSaram
239,69,pUrvAvadhIrita
240,69,sampragai
241,69,avArapAra
242,69,zoSu
243,70,snAyuyuta
244,70,suhRtprakAzAkhyastava
245,70,vidhuMtuda
246,70,bhUmyanRta
247,70,ukthapAtra
248,70,siddhikSetra
249,71,anAtata
250,71,samunnamana
251,71,kanyApipIlikA
252,71,vAtsapra
253,72,medhyatara
254,72,varNakRt
255,72,vaiSNavopayoganirNaya
256,72,upapattimat
257,72,harilIlAviveka
258,72,ananyacitta
259,73,tRptIkR
260,73,sindhunandana
261,73,cikkA
262,73,kSetrAsA
263,73,saumanasAyana
264,73,dInadakSa
265,74,caurarUpa
266,74,phAlacamasa
267,74,udakAtman
268,74,gUlA
269,75,rAjatanayA
270,75,Urdhvabhaktika
271,75,stotrabhASya
272,75,utpalavana
273,75,smarAkula
274,75,upazunam
275,76,gRhacchidra
276,76,pravijRmbh
277,77,prakoSNA
278,77,samAcarita
279,77,dvijasevA
280,77,zazidhvaja
281,77,yogArUDha
282,77,candrazukla
283,78,tAmasa
284,78,kSulika
285,78,baddhadRSTi
286,78,zAmbhavItantra
287,78,pratApanAraziMha
288,78,vRndAvanamaJjarI
289,79,tuhinakiraNaputra
290,79,javA
291,79,dUSikA
292,80,kanakapiGgala
293,80,praiSakRt
294,80,prAjJamAna
295,81,prazamasthita
296,81,radhracoda
297,81,tryadhIza
298,81,aghorapathin
299,82,matsyapittA
300,82,saMnihatI
301,82,svasAra
302,83,vezyAjana
303,83,caturjAta
304,84,tAratamya
305,84,avaskand
306,84,ratnAbharaNa
307,84,saMtamaka
308,84,pAza
309,84,zilajA
310,85,vivara
311,85,saMnaddha
312,85,anustanita
313,86,zepAna
314,86,ulbaNa
315,86,zalyaloman
316,87,sunIthA
317,87,kozavat
318,87,maitrAyaNIyopaniSad
319,87,prathamodbhava
320,88,zivabhaktisudhodaya
321,88,uSTR
322,89,vedalakSaNa
323,89,svarNatantra
324,89,bRhaddhanus
325,89,jvarapralApa
326,89,vAmanapurANa
327,89,phalgunAla
328,90,citrarAdhas
329,90,vidrAvaNa
330,90,aprakSita
331,90,tIkSNaloha
332,91,kezikI
333,91,tUlazarkarA
334,91,vicitravIryasU
335,92,saMtoSita
336,92,tamisrapakSa
337,92,sUtrapattrakara
338,92,sAhadevi
339,92,brahmAdizIrSa
340,92,kSIravanaspati
341,93,mAnamahat
342,94,jalaMdharapura
343,94,prayogavidhi
344,94,zvAsA
345,94,marujAtA
346,94,bhASA
347,95,zleSA
348,95,supraNIti
349,95,liGgazopha
350,95,vasiSThaputra
351,95,dikzUlalakSaNa
352,96,bRMhita
353,96,rIv
354,96,gharmaga
355,96,tajjalAn
356,97,prapANIya
357,97,tapuSpA
358,97,varADirAga
359,97,drauNa
360,97,AsmAka
361,98,kiMdharmaka
362,99,nIDaka
363,99,rahasyasaMdezavivaraNa
364,99,sRjavAna
365,99,vimArgagAmin
366,99,hanumatstotra
367,99,audayaka
368,100,sahAsana
369,100,upabila
370,101,cUDika
371,101,patitatyAgavidhi
372,101,vibhukta
373,101,manyutas
374,102,vairAgyaratna
375,103,tathAgatakozaparipAlitA
376,103,bhArgavakalpavallIcakravidyArahasya
377,103,mRgAdI
378,103,avapatita
379,103,mayUraketu
380,103,rukmAGgadIya
381,104,vihvalahRdaya
382,104,uDunAtha
383,104,niviDa
384,104,parilamba
385,104,zitikaNThIya
386,104,upasargaya
387,105,aupakurvANaka
388,106,vihRdaya
389,106,manojJaghoSa
390,106,suyoga
391,106,ekavezman
392,106,SaTtakrataila
393,107,amizra
394,107,caturvyavasitayamaka
395,107,nirdAha
396,107,gharmAmbu
397,107,dharmepsu
398,108,dilIra
399,108,abhisaMdhipUrvakam
400,108,duSTara
401,108,vedajananI
402,108,sambara
403,109,zaGkhacakragadAdhara
404,109,tIkSNahRdayatva
405,109,kSitija
406,109,simasimAya
407,110,bhedaka
408,111,hIka
409,112,vikautuka
410,113,puraMdhrI
411,113,gRhapativadana
412,113,niveSTita
413,113,kezaruhA
414,114,pRtsu
415,115,saMkrIDa
416,116,dhRSTadhI
417,116,eraNDItIrtha
418,116,paJcakozaviveka
419,116,nizAdarzin
420,116,nirmANakAya
421,117,pratyabhimith
422,117,vastubhUta
423,118,vizvaliGga
424,119,prayogagrahaNa
425,120,uTaja
426,120,lohitazuklakRSNa
427,121,azitra
428,121,saMcAritA
429,121,candhana
430,121,pipIlikAvat
431,121,agnivRddhi
432,121,carman
433,122,devapUjya
434,122,abhyullasat
435,122,dvaMdvArAma
436,123,pUgavaira
437,123,SaSTa
438,123,ayaskRti
439,124,zilAja
440,125,rAmakarNAmRta
441,125,sarvavidyA
442,125,daNDakAlasaka
443,125,jyotA
444,125,adhivettavyA
445,125,muJja
446,126,rAjyatantra
447,126,bhartRghnatva
448,127,dravaka
449,127,abhividRz
450,128,sanAya
451,128,vaTu
452,128,vadhyatva
453,129,zabheda
454,129,mAlita
455,129,susahAya
456,130,rAyaspoSadA
457,130,goSThapati
458,131,aina
459,132,arpitopta
460,132,vRkAyu
461,133,brAhmaudanika
462,134,jinadharma
463,134,yathAcAram
464,134,tRNanimbA
465,134,pArzvavaktra
466,135,subhagAnanda
467,135,zarvAkSa
468,135,dharmAdhikAra
469,136,AdAnavat
470,137,suhitA
471,137,parisAntvana
472,137,alpabhujAntara
473,137,caturAtman
474,137,vera
475,137,apariharaNIya
476,138,viN
477,138,prajvAlA
478,138,zeSAnna
479,139,durbalAgni
480,139,gotama
481,139,vAstupradIpa
482,139,homabhasman
483,139,hataziSTajana
484,139,pratistrI
485,140,zatrumardana
486,140,dIdi
487,140,cATa
488,140,mahAbhAratoddhRtasArazloka
489,140,zAbaropaniSad
490,141,mahAsahasrapramardana
491,141,samidham
492,141,kalyANamalla
493,142,yUthyA
494,142,kalpazAkhin
495,143,navaratna
496,143,agArastUpa
497,143,guNasaMkIrtana
498,143,svagRhIta
499,143,prabhAta
500,144,antarapUruSa
501,144,vizvasahA
502,144,zroNimat
503,145,surazatruhan
504,145,savanaprayoga
505,146,meSahRt
506,146,rADhA
507,147,kaumbheyaka
508,147,avatamasa
509,147,hevAka
510,147,cicaliSu
511,147,tribhANDI
512,148,girinimba
513,148,muralIprakAza
514,149,sucakra
515,149,paJcadazavat
516,149,pippalIvardhamAnaka
517,149,uttarazalaGkaTa
518,149,nakSatramArga
519,150,durgapAla
520,150,bAlyatA
521,150,nAkanadI
522,150,karNakITA
523,150,smaraNapadavI
524,150,saMnidhikAra
525,151,zoci
526,152,asatyatA
527,152,veGkaTezASTottarazatanAman
528,152,adhikSit
529,152,zaliputra
530,152,puraskRtya
531,153,bhartRsAtkRtA
532,153,zvAhi
533,153,anumantavya
534,154,kRSNavaktra
535,155,akra
536,155,hastinAga
537,156,tapanatanayeSTA
538,156,avahitthA
539,157,prayAgarAjASTaka
540,157,pATalakusama
541,157,mantrArthamaJjarI
542,157,vajaANa
543,158,siddhArthaka
544,159,kSupA
545,159,zleSmavRddhi
546,159,bAlahatyA
547,160,sammA
548,160,mRducArubhASin
549,160,zaMkaragaNa
550,161,adhipati
551,161,vidyuddyotA
552,161,sutakIrti
553,162,jyoti
554,162,AtmahitAyana
555,162,pazcAtkarNam
556,162,zAtapatha
557,162,kuTTakAdhyAya
558,162,pratyAyaka
559,163,zubhri
560,163,bhaNDahAsinI
561,163,vinikRta
562,164,timija
563,164,gadgadaruddha
564,164,zikhAvRkSa
565,164,Ayaj
566,164,priyazaMsA
567,164,smarya
568,165,zatAdhyAya
569,165,sAdhukArin
570,165,kakkaTa
571,166,nAtilalita
572,166,ayaHzaya
573,166,snAnavidhisUtrabhASya
574,167,khAnam
575,167,surataglAni
576,167,AJjanAbhyaJjanIya
577,167,mandAyus
578,167,anupradAna
579,167,guptadAna
580,168,guruziSyasaMvAda
581,168,yajJakA
582,168,undana
583,168,AdityavallabhA
584,168,hInaguNa
585,168,cetasam
586,169,sausAyana
587,170,chemuNDA
588,170,pariSaJj
589,171,siddhAntamaJjUSA
590,171,kuruzravaNa
591,171,ajayya
592,171,abhyuddRSTeSTi
593,171,paribarha
594,171,vILu
595,172,yoSidgrAha
596,173,kuyava
597,174,dvitIya
598,175,sAkSIbhU
599,175,adaiteya
600,176,joSaNA
601,176,parikhyAta
602,177,parezeza
603,177,krakacapad
604,177,pramANIkaraNa
605,177,adhenu
606,177,antarvedi
607,177,puTakinI
608,178,gAdhinagara
609,178,dhUrNi
610,178,kAlaprabhAta
611,178,zivabhUtika
612,178,subodhinI
613,179,yugmapattra
614,179,parivAra
615,179,anyonyAbhAva
616,179,gRhakuliGga
617,179,AsanapaTTi
618,179,haThayogaviveka
619,180,sthalakamala
620,180,padmAditva
621,180,Acita
622,180,vijayapatAkA
623,180,surarSi
624,180,vyAhan
625,181,mAtuluGga
626,181,gRhakArin
627,181,duHsarpa
628,181,sudUram
629,181,pUrvapakSavyutpattilakSaNa
630,181,viNT
631,182,puSpagaNDikA
632,182,kAmakalAbIja
633,183,zmasi
634,183,AtmakrIDa
635,184,AkSabhArika
636,184,lakSaNaprakAza
637,184,devRghnI
638,184,vIryaga
639,184,jinadattacaritra
640,184,kRSNajIraka
641,185,jIvatpati
642,185,purumAya
643,185,mantrAnuSThAna
644,186,zarkarA
645,186,pratisaMvedin
646,186,azanAyA
647,187,upAsyand
648,187,ghRtayAjyA
649,188,ekazilA
650,188,nizAratna
651,188,mRgavanatIrtha
652,188,pratimaNDala
653,188,dAsanandinI
654,189,haraNahArika
655,189,vighoSaNa
656,189,mArgapAlI
657,189,mAgadhikA
658,189,daiSTikatA
659,190,AvApaka
660,190,gozruti
661,190,mantraratnaprakAza
662,190,nArakikin
663,190,prativiTapam
664,191,smRtinibandha
665,191,mAdhavAnandakAvya
666,192,vijayaDiNDima
667,192,avizastR
668,193,yogamAyA
669,193,parNilatA
670,193,avibhAgavid
671,194,anuSNa
672,194,viprathita
673,195,bRhatpuSpa
674,195,pAva
675,195,granthidalA
676,196,zikhipriya
677,196,jahistambha
678,197,paJcagavyaghRta
679,197,karakAbhighAta
680,197,kusambandha
681,197,parIman
682,197,jagatpitR
683,198,bhUtavIra
684,198,yAcJAbhaGga
685,198,pratikUladaivatA
686,198,muhUrtamaNi
687,198,nArSada
688,198,avaSTabdhatA
689,199,anuSThAnI
690,199,cittanirvRti
691,199,nijazatru
692,199,tavakSIra
693,200,AdInava
694,200,hradagraha
695,200,vArabANa
696,200,hRtottara
697,200,bhavAbhISTa
698,200,hiraNyakezya
699,201,dhUmikA
700,201,mRgavIthI
701,201,grAmegeya
702,201,matsyagu
703,201,kavAra
704,202,kalpAtyaya
705,202,dvAsaptati
706,203,uddal
707,203,sAmbaziva
708,203,hRtkampa
709,203,hetutva
710,203,bhUmija
711,203,satIzvaraliGga
712,204,yathopadiSTa
713,204,vAcyatva
714,204,nidhAraya
715,204,harasvAmin
716,204,vRttimat
717,204,sevA
718,205,aktubhis
719,205,karmazAlA
720,206,vatkAra
721,206,upAdru
722,206,saMrodha
723,206,samavAptakAma
724,206,bhasma
725,207,vekaTa
726,207,vIracarya
727,207,kaNakukkuTa
728,208,grAmakAma
729,209,taJc
730,209,maJcayUpa
731,209,asadRzavyavahArin
732,209,vIryaprapAta
733,209,rAmAnandarAya
734,209,kSudrAkSa
735,210,pakSapAtin
